Detached,AgeBand,Cwi,Loft,Dg,Cond,Swi,Ashp,Gshp,Bio,Pv,Shw,Total Used Energy
0,6,1,0,1,0,0,1,0,0,0,1,5633.571236
0,6,1,1,1,0,0,1,0,0,0,1,5547.569289
0,6,1,0,1,1,0,0,0,0,1,0,12172.49428
0,6,1,1,1,1,0,0,0,0,1,0,11857.57795
0,6,1,0,1,0,0,1,0,0,1,0,5057.234259
0,6,1,1,1,0,0,1,0,0,1,0,4971.345874
0,6,1,0,1,1,0,0,0,0,1,1,10546.04917
0,6,1,1,1,1,0,0,0,0,1,1,10287.2462
0,6,1,0,1,0,0,1,0,0,1,1,5597.721777
0,6,1,1,1,0,0,1,0,0,1,1,5511.71983
0,7,1,0,1,1,0,0,0,0,0,0,10577.29096
0,7,1,1,1,1,0,0,0,0,0,0,10389.61211
0,7,1,0,1,0,0,1,0,0,0,0,3931.389395
0,7,1,1,1,0,0,1,0,0,0,0,3887.763709
0,7,1,0,1,1,0,0,0,0,0,1,8483.060866
0,7,1,1,1,1,0,0,0,0,0,1,8323.713471
0,7,1,0,1,0,0,1,0,0,0,1,3698.353405
0,7,1,1,1,0,0,1,0,0,0,1,3654.627489
0,7,1,0,1,1,0,0,0,0,1,0,9587.705453
0,7,1,1,1,1,0,0,0,0,1,0,9400.026597
0,7,1,0,1,0,0,1,0,0,1,0,2941.803884
0,7,1,1,1,0,0,1,0,0,1,0,2898.178198
0,7,1,0,1,1,0,0,0,0,1,1,8181.92789
0,7,1,1,1,1,0,0,0,0,1,1,8022.580495
0,7,1,0,1,0,0,1,0,0,1,1,3397.22043
0,7,1,1,1,0,0,1,0,0,1,1,3353.494514
0,7,1,0,1,1,0,0,0,0,0,0,15718.41299
0,7,1,1,1,1,0,0,0,0,0,0,15566.85936
0,7,1,0,1,0,0,1,0,0,0,0,6970.503372
0,7,1,1,1,0,0,1,0,0,0,0,6923.565726
0,7,1,0,1,1,0,0,0,0,0,1,12771.73124
0,7,1,1,1,1,0,0,0,0,0,1,12651.52958
0,7,1,0,1,0,0,1,0,0,0,1,6683.153277
0,7,1,1,1,0,0,1,0,0,0,1,6636.193194
0,7,1,0,1,1,0,0,0,0,1,0,14670.94086
0,7,1,1,1,1,0,0,0,0,1,0,14519.38723
0,7,1,0,1,0,0,1,0,0,1,0,5923.031244
0,7,1,1,1,0,0,1,0,0,1,0,5876.093598
0,7,1,0,1,1,0,0,0,0,1,1,12553.95241
0,7,1,1,1,1,0,0,0,0,1,1,12433.75075
0,7,1,0,1,0,0,1,0,0,1,1,6465.374449
0,7,1,1,1,0,0,1,0,0,1,1,6418.414365
0,5,1,1,1,0,0,0,0,0,0,0,14067.77559
0,5,1,1,1,0,0,1,0,0,0,0,6224.094296
0,5,1,1,1,1,0,0,0,0,0,0,12582.43755
0,5,1,1,1,0,0,0,0,0,0,1,12428.25942
0,5,1,1,1,0,0,1,0,0,0,1,6010.003714
0,5,1,1,1,1,0,0,0,0,0,1,11724.56302
0,5,1,1,1,0,0,0,0,0,1,0,13009.58371
0,5,1,1,1,0,0,1,0,0,1,0,5165.902424
0,5,1,1,1,1,0,0,0,0,1,0,11524.24568
0,5,1,1,1,0,0,0,0,0,1,1,12058.52009
0,5,1,1,1,0,0,1,0,0,1,1,5640.264377
0,5,1,1,1,1,0,0,0,0,1,1,11354.82369
0,5,1,1,1,0,0,0,0,0,0,0,9114.594289
0,5,1,1,1,0,0,1,0,0,0,0,4412.106921
0,5,1,1,1,1,0,0,0,0,0,0,8407.80032
0,5,1,1,1,0,0,0,0,0,0,1,7820.2549
0,5,1,1,1,0,0,1,0,0,0,1,4179.959506
0,5,1,1,1,1,0,0,0,0,0,1,7538.186918
0,5,1,1,1,0,0,0,0,0,1,0,8182.282839
0,5,1,1,1,0,0,1,0,0,1,0,3479.795472
0,5,1,1,1,1,0,0,0,0,1,0,7475.48887
0,5,1,1,1,0,0,0,0,0,1,1,7576.395985
0,5,1,1,1,0,0,1,0,0,1,1,3936.100592
0,5,1,1,1,1,0,0,0,0,1,1,7294.328004
0,9,0,0,1,1,0,0,0,0,0,0,10642.41622
0,9,1,0,1,1,0,0,0,0,0,0,10018.78578
0,9,0,0,1,0,0,1,0,0,0,0,4496.989541
0,9,1,0,1,0,0,1,0,0,0,0,4299.448748
0,5,1,0,1,0,0,0,0,0,0,0,11246.37223
0,5,1,1,1,0,0,0,0,0,0,0,11144.0437
0,5,1,0,1,0,0,1,0,0,0,0,5069.972933
0,5,1,1,1,0,0,1,0,0,0,0,5031.142564
0,5,1,0,1,1,0,0,0,0,0,0,10343.34649
0,5,1,1,1,1,0,0,0,0,0,0,10256.74154
